"","name","year","pressure","windspeed","radius","rainfall_mm","surge","Tors"
"205","ERIN",1995,973,85,-999,508,2.13,14
"206","ERIN",2001,968,105,-999,NA,NA,NA
"207","ERIN",2007,995,50,15,325.374,NA,7
"208","ERIN",2013,1006,40,0,NA,NA,NA
"209","ERIN",2019,1002,35,0,NA,NA,NA
"210","ERNESTO",1982,997,60,-999,NA,NA,NA
"211","ERNESTO",1988,994,55,-999,NA,NA,NA
"212","ERNESTO",1994,997,50,-999,NA,NA,NA
"213","ERNESTO",2000,1008,35,-999,NA,NA,NA
"214","ERNESTO",2006,985,65,50,371.094,NA,5
"215","ERNESTO",2012,973,85,60,NA,NA,NA
"216","ERNESTO",2018,999,40,0,NA,NA,NA
"217","ETA",2020,922,130,70,526.796,NA,NA
"218","FABIAN",1985,994,55,-999,NA,NA,NA
"219","FABIAN",1991,1002,40,-999,106.426,NA,NA
"220","FABIAN",1997,1004,40,-999,NA,NA,NA
"221","FABIAN",2003,939,125,-999,NA,NA,NA
"222","FAY",2002,998,50,-999,469.646,NA,11
"223","FAY",2008,986,60,65,702.31,1.52,50
"224","FAY",2014,983,70,60,NA,NA,NA
"225","FAY",2020,998,50,90,329.184,NA,NA
"226","FELIX",1989,979,75,-999,NA,NA,NA
"227","FELIX",1995,929,120,-999,NA,NA,NA
"228","FELIX",2001,962,100,-999,NA,NA,NA
"229","FELIX",2007,929,150,60,NA,NA,NA
"230","FERNAND",2013,1001,50,10,NA,NA,NA
"231","FERNAND",2019,1000,45,0,NA,NA,NA
"232","FIFTEEN",2007,996,45,0,NA,NA,NA
"233","FIFTEEN",2019,1006,30,0,NA,NA,NA
"234","FIONA",2010,998,55,30,NA,NA,NA
"235","FIONA",2016,1004,45,0,NA,NA,NA
"236","FIVE",2010,1007,30,0,NA,NA,NA
"237","FLORENCE",1988,982,70,-999,274.066,1.83,NA
"238","FLORENCE",1994,972,95,-999,NA,NA,NA
"239","FLORENCE",2000,985,70,-999,NA,NA,NA
"240","FLORENCE",2006,963,80,360,67.056,NA,NA
"241","FLORENCE",2012,1002,50,30,NA,NA,NA
"242","FLORENCE",2018,937,130,110,912.622,NA,NA
"243","FLOYD",1981,975,100,-999,NA,NA,NA
"244","FLOYD",1987,993,65,-999,255.778,1.22,NA
"245","FLOYD",1993,966,70,-999,20.574,NA,NA
"246","FLOYD",1999,921,135,-999,611.124,NA,18
"247","FOUR",2017,1009,25,0,NA,NA,NA
"248","FRAN",1984,994,55,-999,NA,NA,NA
"249","FRAN",1990,-999,35,-999,NA,NA,NA
"250","FRAN",1996,946,105,-999,406.4,NA,2
"251","FRANCES",1980,958,100,-999,NA,NA,NA
"252","FRANCES",1986,1000,75,-999,NA,NA,NA
"253","FRANCES",1992,976,75,-999,NA,NA,NA
"254","FRANCES",1998,990,55,-999,1119.124,2.44,14
"255","FRANCES",2004,935,125,125,598.678,1.83,103
"256","FRANKLIN",2005,997,60,90,NA,NA,NA
"257","FRANKLIN",2011,1004,40,0,NA,NA,NA
"258","FRANKLIN",2017,981,75,50,NA,NA,NA
"259","FRED",2009,958,105,45,NA,NA,NA
"260","FRED",2015,986,75,40,NA,NA,NA
"261","GABRIELLE",1989,935,125,-999,NA,NA,NA
"262","GABRIELLE",1995,988,60,-999,493.776,NA,NA
"263","GABRIELLE",2001,975,70,-999,383.54,1.55,18
"264","GABRIELLE",2007,1004,50,15,229.362,NA,NA
"265","GABRIELLE",2013,1003,55,20,264.414,NA,NA
"266","GABRIELLE",2019,995,55,70,NA,NA,NA
"267","GAMMA",2005,1002,45,0,NA,NA,NA
"268","GAMMA",2020,978,65,50,386.08,NA,NA
"269","GASTON",2004,985,65,25,320.04,NA,18
"270","GASTON",2010,1005,35,0,76.962,NA,NA
"271","GASTON",2016,955,105,100,NA,NA,NA
"272","GEORGES",1980,993,70,-999,NA,NA,NA
"273","GEORGES",1998,937,135,-999,976.884,3.63,48
"274","GERT",1981,988,90,-999,152.908,NA,NA
"275","GERT",1993,970,85,-999,804.926,NA,NA
"276","GERT",1999,930,130,-999,NA,NA,NA
"277","GERT",2005,1005,40,0,NA,NA,NA
"278","GERT",2011,1000,55,15,NA,NA,NA
"279","GERT",2017,962,95,70,NA,NA,NA
"280","GILBERT",1988,888,160,-999,350.012,1.83,NA
"281","GLORIA",1985,920,125,-999,246.38,NA,NA
"282","GONZALO",2014,940,125,200,NA,NA,NA
"283","GONZALO",2020,997,55,20,NA,NA,NA
"284","GORDON",1994,980,75,-999,408.94,1.22,NA
"285","GORDON",2000,981,70,-999,288.29,1.52,11
"286","GORDON",2006,955,105,360,NA,NA,NA
"287","GORDON",2012,965,95,60,NA,NA,NA
"288","GORDON",2018,996,60,20,323.342,NA,NA
"289","GRACE",1991,-999,90,-999,81.534,NA,NA
"290","GRACE",1997,999,40,-999,322.326,NA,NA
"291","GRACE",2003,1007,35,-999,241.3,NA,NA
"292","GRACE",2009,986,55,120,NA,NA,NA
"293","GRACE",2015,1000,50,20,274.574,NA,NA
"294","GUSTAV",1984,1006,45,-999,NA,NA,NA
