"","name","year","pressure","windspeed","radius","rainfall_mm","surge","Tors"
"409","KATRINA",1981,980,75,-999,NA,NA,NA
"410","KATRINA",1999,999,35,-999,160.528,NA,NA
"411","KATRINA",2005,902,150,120,417.322,8.47,59
"412","KEITH",1988,945,65,-999,260.858,1.83,NA
"413","KEITH",2000,939,120,-999,623.57,NA,NA
"414","KIRK",2012,970,90,50,NA,NA,NA
"415","KIRK",2018,998,55,40,NA,NA,NA
"416","KLAUS",1984,971,80,-999,652.526,NA,NA
"417","KLAUS",1990,985,70,-999,NA,NA,NA
"418","KYLE",1996,1001,45,-999,145.034,NA,NA
"419","KYLE",2002,980,75,-999,221.488,NA,8
"420","KYLE",2008,984,75,105,773.938,NA,NA
"421","KYLE",2020,1000,45,0,NA,NA,NA
"422","LARRY",2003,993,55,-999,629.158,NA,NA
"423","LAURA",2008,990,70,240,NA,NA,NA
"424","LAURA",2020,937,130,100,298.196,NA,NA
"425","LEE",2005,1006,35,0,NA,NA,NA
"426","LEE",2011,986,50,120,532.384,NA,28
"427","LEE",2017,962,100,70,NA,NA,NA
"428","LENNY",1999,933,135,-999,866.648,NA,NA
"429","LESLIE",2000,973,60,-999,444.5,NA,NA
"430","LESLIE",2012,968,70,150,NA,NA,NA
"431","LESLIE",2018,968,80,270,NA,NA,NA
"432","LILI",1984,980,70,-999,29.718,NA,NA
"433","LILI",1990,987,65,-999,NA,NA,NA
"434","LILI",1996,960,100,-999,306.832,1.83,NA
"435","LILI",2002,938,125,-999,213.36,3.75,25
"436","LISA",1998,995,65,-999,NA,NA,NA
"437","LISA",2004,987,65,60,NA,NA,NA
"438","LISA",2010,982,75,20,NA,NA,NA
"439","LISA",2016,999,45,0,NA,NA,NA
"440","LORENZO",2001,1007,35,-999,NA,NA,NA
"441","LORENZO",2007,990,70,30,NA,NA,NA
"442","LORENZO",2013,1000,45,0,NA,NA,NA
"443","LORENZO",2019,925,140,250,NA,NA,NA
"444","LUIS",1995,935,130,-999,NA,NA,NA
"445","MARCO",1990,989,55,-999,NA,NA,NA
"446","MARCO",1996,983,65,-999,NA,NA,NA
"447","MARCO",2008,998,55,5,NA,NA,NA
"448","MARCO",2020,991,65,30,334.518,NA,NA
"449","MARIA",2005,962,100,300,NA,NA,NA
"450","MARIA",2011,983,70,150,NA,NA,NA
"451","MARIA",2017,908,150,120,962.66,NA,NA
"452","MARILYN",1995,949,100,-999,508,NA,NA
"453","MATTHEW",2004,997,40,0,412.242,1.78,NA
"454","MATTHEW",2010,998,50,45,424.942,NA,NA
"455","MATTHEW",2016,934,145,120,481.33,NA,NA
"456","MELISSA",2007,1005,35,0,NA,NA,NA
"457","MELISSA",2013,980,55,90,NA,NA,NA
"458","MELISSA",2019,994,55,180,NA,NA,NA
"459","MICHAEL",2000,965,85,-999,NA,NA,NA
"460","MICHAEL",2012,964,100,40,NA,NA,NA
"461","MICHAEL",2018,919,140,220,330.454,NA,NA
"462","MICHELLE",2001,933,120,-999,126.746,NA,2
"463","MINDY",2003,1002,40,-999,181.102,NA,NA
"464","MITCH",1998,905,155,-999,427.99,1.22,5
"465","NADINE",2000,999,50,-999,NA,NA,NA
"466","NADINE",2012,978,80,100,NA,NA,NA
"467","NADINE",2018,995,55,30,NA,NA,NA
"468","NANA",1990,989,75,-999,8.382,NA,NA
"469","NANA",2008,1004,35,0,NA,NA,NA
"470","NANA",2020,994,65,20,NA,NA,NA
"471","NATE",2005,979,80,120,NA,NA,NA
"472","NATE",2011,994,65,90,NA,NA,NA
"473","NATE",2017,981,80,60,252.222,NA,NA
"474","NESTOR",2019,996,50,70,197.358,NA,NA
"475","NICHOLAS",2003,990,60,-999,NA,NA,NA
"476","NICOLE",1998,979,75,-999,NA,NA,NA
"477","NICOLE",2004,986,45,0,NA,NA,NA
"478","NICOLE",2010,994,40,0,322.834,NA,NA
"479","NICOLE",2016,950,120,180,NA,NA,NA
"480","NINE",2015,1006,30,0,NA,NA,NA
"481","NINETEEN",2005,1006,30,0,NA,NA,NA
"482","NOEL",1995,987,65,-999,NA,NA,NA
"483","NOEL",2001,986,65,-999,NA,NA,NA
"484","NOEL",2007,965,75,270,437.642,NA,NA
"485","ODETTE",2003,993,55,-999,221.742,NA,NA
"486","OLGA",2001,973,80,-999,NA,NA,NA
"487","OLGA",2007,1003,50,90,282.702,NA,2
"488","OLGA",2019,992,45,0,260.096,NA,NA
"489","OMAR",2008,958,115,75,NA,NA,NA
"490","OMAR",2020,1003,35,0,NA,NA,NA
"491","ONE",2009,1006,30,0,NA,NA,NA
"492","OPAL",1995,916,130,-999,493.268,4.27,35
"493","OPHELIA",2005,976,75,90,444.5,NA,NA
"494","OPHELIA",2011,940,120,120,NA,NA,NA
"495","OPHELIA",2017,957,100,180,NA,NA,NA
"496","OSCAR",2012,994,45,0,NA,NA,NA
"497","OSCAR",2018,952,95,330,NA,NA,NA
"498","OTTO",2004,995,45,0,NA,NA,NA
"499","OTTO",2010,976,75,120,453.644,NA,NA
"500","OTTO",2016,975,100,30,NA,NA,NA
"501","PABLO",1995,994,50,-999,NA,NA,NA
"502","PABLO",2019,977,70,70,NA,NA,NA
"503","PALOMA",2008,944,125,60,NA,NA,NA
"504","PATTY",2012,1005,40,0,NA,NA,NA
"505","PAULA",2010,981,90,45,NA,NA,NA
"506","PAULETTE",2020,965,90,150,NA,NA,NA
"507","PETER",2003,990,60,-999,NA,NA,NA
"508","PHILIPPE",2005,985,70,30,NA,NA,NA
"509","PHILIPPE",2011,976,80,45,NA,NA,NA
"510","PHILIPPE",2017,1000,35,0,277.622,NA,NA
"511","RAFAEL",2012,966,80,330,NA,NA,NA
"512","REBEKAH",2019,965,70,390,NA,NA,NA
"513","RENE",2020,1001,40,0,NA,NA,NA
"514","RICHARD",2010,977,85,30,NA,NA,NA
"515","RINA",2011,966,100,50,NA,NA,2
"516","RINA",2017,991,50,70,NA,NA,NA
"517","RITA",2005,895,155,120,406.4,4.57,98
"518","ROXANNE",1995,956,100,-999,675.894,NA,NA
"519","SALLY",2020,965,95,70,761.746,NA,NA
"520","SANDY",2012,940,100,260,325.882,NA,NA
"521","SEAN",2011,982,55,60,NA,NA,NA
"522","SEBASTIEN",1995,1001,55,-999,NA,NA,NA
"523","SEBASTIEN",2019,970,60,160,NA,NA,NA
"524","SHARY",2010,989,65,40,NA,NA,NA
"525","SIXTEEN",2008,1004,25,0,NA,NA,NA
"526","STAN",2005,977,70,45,NA,NA,NA
"527","TAMMY",2005,1001,45,0,367.792,NA,1
"528","TANYA",1995,970,75,-999,NA,NA,NA
"529","TEDDY",2020,945,120,240,132.334,NA,NA
"530","TEN",2005,1008,30,0,NA,NA,NA
"531","TEN",2007,1005,30,0,NA,NA,NA
"532","TEN",2011,1006,30,0,NA,NA,NA
"533","TEN",2020,1008,30,0,NA,NA,NA
"534","THETA",2020,987,60,60,NA,NA,NA
"535","THREE",2019,1013,30,0,NA,NA,NA
"536","TOMAS",2010,982,85,60,NA,NA,NA
"537","TONY",2012,1000,45,0,NA,NA,NA
"538","TWENTY-TWO",2005,1005,40,0,NA,NA,NA
"539","TWO",2010,1005,30,0,NA,NA,NA
"540","TWO",2014,1012,30,0,NA,NA,NA
